position,sample_id,name,day,real,recovery,plate,n,raw,raw_mean,raw_sd,raw_cv,concentration,concentration_sd,concentration_cv
A1,CAL2,CAL2,NA,2e3,1.288322143357075,1,2,34997,36773.5,2512.3503935558033,0.06831958865911059,2720.9538357981055,204.08452149447575,0.0750047717860726
B1,CAL3,CAL3,NA,1e3,1.1165534499858492,1,2,16341,16110,326.683332908185,0.02027829502844103,1099.2465772881033,24.47561409141691,0.022265808779500126
C1,CAL4,CAL4,NA,500,0.9085226834278971,1,2,7204,6772,610.9402589451771,0.09021563185841364,424.53303242683216,42.042178180261956,0.0990315828663059
D1,CAL5,CAL5,NA,250,0.7002620856739619,1,2,3023,2826.5,277.8929650063132,0.09831698744253077,162.65340390461958,17.553384925884846,0.10791895222911044
E1,CAL8,CAL8,NA,31.25,0.9124959462701412,1,2,579,549.5,41.71930009000631,0.07592229315742731,26.92844020391764,2.2444391133700345,0.0833482777455304
F1,CAL9,CAL9,NA,15.625,1.5568973540089586,1,2,501,461.5,55.86143571373726,0.12104319764623458,22.237661277451487,2.9540939706918357,0.13284193575190498
A2,CAL2,CAL2,NA,2e3,1.4326316924410305,1,2,38550,36773.5,2512.3503935558033,0.06831958865911059,2720.9538357981055,204.08452149447575,0.0750047717860726
B2,CAL3,CAL3,NA,1e3,1.0819397045903572,1,2,15879,16110,326.683332908185,0.02027829502844103,1099.2465772881033,24.47561409141691,0.022265808779500126
C2,CAL4,CAL4,NA,500,0.7896094462794317,1,2,6340,6772,610.9402589451771,0.09021563185841364,424.53303242683216,42.042178180261956,0.0990315828663059
D2,CAL5,CAL5,NA,250,0.6009651455629947,1,2,2630,2826.5,277.8929650063132,0.09831698744253077,162.65340390461958,17.553384925884846,0.10791895222911044
E2,CAL8,CAL8,NA,31.25,0.8109242267805876,1,2,520,549.5,41.71930009000631,0.07592229315742731,26.92844020391764,2.2444391133700345,0.0833482777455304
F2,CAL9,CAL9,NA,15.625,1.2895232895048316,1,2,422,461.5,55.86143571373726,0.12104319764623458,22.237661277451487,2.9540939706918357,0.13284193575190498
A3,A_1,A,1,NA,NA,1,2,638,618.5,27.577164466275352,0.04458716971103533,30.660195313207556,1.5009574564637305,0.048954595400674435
B3,B_1,B,1,NA,NA,1,2,648,657.5,13.435028842544403,0.020433503943033313,32.78806850777893,0.7356404873152343,0.02243622515125295
C3,C_1,C,1,NA,NA,1,2,667,721,76.36753236814714,0.1059189075841153,36.29164241839557,4.219161253855352,0.11625710418982681
D3,D_1,D,1,NA,NA,1,2,491,500.5,13.435028842544403,0.026843214470618187,24.300335780478857,0.7162245911546432,0.029473855737006175
E3,E_1,E,1,NA,NA,1,2,618,623,7.0710678118654755,0.011350028590474279,30.903676812421963,0.3851397555790419,0.012462586827992976
F3,F_1,F,1,NA,NA,1,2,589,598.5,13.435028842544403,0.022447834323382463,29.57213138060318,0.7288912437493217,0.02464791037102631
A4,A_1,A,1,NA,NA,1,2,599,618.5,27.577164466275352,0.04458716971103533,30.660195313207556,1.5009574564637305,0.048954595400674435
B4,B_1,B,1,NA,NA,1,2,667,657.5,13.435028842544403,0.020433503943033313,32.78806850777893,0.7356404873152343,0.02243622515125295
C4,C_1,C,1,NA,NA,1,2,775,721,76.36753236814714,0.1059189075841153,36.29164241839557,4.219161253855352,0.11625710418982681
D4,D_1,D,1,NA,NA,1,2,510,500.5,13.435028842544403,0.026843214470618187,24.300335780478857,0.7162245911546432,0.029473855737006175
E4,E_1,E,1,NA,NA,1,2,628,623,7.0710678118654755,0.011350028590474279,30.903676812421963,0.3851397555790419,0.012462586827992976
F4,F_1,F,1,NA,NA,1,2,608,598.5,13.435028842544403,0.022447834323382463,29.57213138060318,0.7288912437493217,0.02464791037102631
A5,A_2,A,2,NA,NA,1,2,736,770.5,48.79036790187178,0.06332299533013859,39.028919710888246,2.713322584654573,0.06952082211739039
B5,B_2,B,2,NA,NA,1,2,1335,1340,7.0710678118654755,0.005276916277511549,71.6524863403076,0.415168326651906,0.005794192886484052
C5,C_2,C,2,NA,NA,1,2,1276,1300.5,34.64823227814083,0.026642239352665,69.33794761916056,2.0283565574068403,0.02925319579038611
D5,D_2,D,2,NA,NA,1,2,726,750.5,34.64823227814083,0.04616686512743615,37.91603895877707,1.9219176357758883,0.050688776796158165
E5,E_2,E,2,NA,NA,1,2,1188,1124,90.50966799187809,0.0805246156511371,59.086055615868474,5.223122891589707,0.08839857115435806
F5,F_2,F,2,NA,NA,1,2,520,544.5,34.64823227814083,0.06363311713157177,26.658283441541585,1.862379756051016,0.06986120318418068
A6,A_2,A,2,NA,NA,1,2,805,770.5,48.79036790187178,0.06332299533013859,39.028919710888246,2.713322584654573,0.06952082211739039
B6,B_2,B,2,NA,NA,1,2,1345,1340,7.0710678118654755,0.005276916277511549,71.6524863403076,0.415168326651906,0.005794192886484052
C6,C_2,C,2,NA,NA,1,2,1325,1300.5,34.64823227814083,0.026642239352665,69.33794761916056,2.0283565574068403,0.02925319579038611
D6,D_2,D,2,NA,NA,1,2,775,750.5,34.64823227814083,0.04616686512743615,37.91603895877707,1.9219176357758883,0.050688776796158165
E6,E_2,E,2,NA,NA,1,2,1060,1124,90.50966799187809,0.0805246156511371,59.086055615868474,5.223122891589707,0.08839857115435806
F6,F_2,F,2,NA,NA,1,2,569,544.5,34.64823227814083,0.06363311713157177,26.658283441541585,1.862379756051016,0.06986120318418068
