position,sample_id,name,day,plate,n,raw,raw_sd,raw_cv,concentration,concentration_sd,concentration_cv
A3,A_1,A,1,1,2,618.5,27.577164466275352,0.04458716971103533,30.660195313207556,1.5009574564637305,0.048954595400674435
B3,B_1,B,1,1,2,657.5,13.435028842544403,0.020433503943033313,32.78806850777893,0.7356404873152343,0.02243622515125295
C3,C_1,C,1,1,2,721,76.36753236814714,0.1059189075841153,36.29164241839557,4.219161253855352,0.11625710418982681
D3,D_1,D,1,1,2,500.5,13.435028842544403,0.026843214470618187,24.300335780478857,0.7162245911546432,0.029473855737006175
E3,E_1,E,1,1,2,623,7.0710678118654755,0.011350028590474279,30.903676812421963,0.3851397555790419,0.012462586827992976
F3,F_1,F,1,1,2,598.5,13.435028842544403,0.022447834323382463,29.57213138060318,0.7288912437493217,0.02464791037102631
A5,A_2,A,2,1,2,770.5,48.79036790187178,0.06332299533013859,39.028919710888246,2.713322584654573,0.06952082211739039
B5,B_2,B,2,1,2,1340,7.0710678118654755,0.005276916277511549,71.6524863403076,0.415168326651906,0.005794192886484052
C5,C_2,C,2,1,2,1300.5,34.64823227814083,0.026642239352665,69.33794761916056,2.0283565574068403,0.02925319579038611
D5,D_2,D,2,1,2,750.5,34.64823227814083,0.04616686512743615,37.91603895877707,1.9219176357758883,0.050688776796158165
E5,E_2,E,2,1,2,1124,90.50966799187809,0.0805246156511371,59.086055615868474,5.223122891589707,0.08839857115435806
F5,F_2,F,2,1,2,544.5,34.64823227814083,0.06363311713157177,26.658283441541585,1.862379756051016,0.06986120318418068
